id,pop,YearOnly,hatchDoY,lat,lon,Site Name,catchDoY,estimatedAge
150,M. peelii,2012,302.9252173,-35.29,148.96,Nerreman,320,10.51
151,M. peelii,2012,298.9304835,-35.37,148.98,Bullen Range,318,11.77
152,M. peelii,2012,298.2999665,-35.37,148.98,Bullen Range,318,12.41
153,M. peelii,2012,299.6660865,-35.37,148.98,Bullen Range,318,11.04
154,M. peelii,2012,299.3508281,-35.37,148.98,Bullen Range,318,11.35
155,M. peelii,2012,298.9304835,-35.37,148.98,Bullen Range,318,11.77
156,M. peelii,2012,301.6627235,-35.37,148.98,Bullen Range,318,9.04
157,M. peelii,2012,301.0322065,-35.37,148.98,Bullen Range,318,9.67
158,M. peelii,2012,299.3508281,-35.37,148.98,Bullen Range,318,11.35
159,M. peelii,2012,301.6627235,-35.37,148.98,Bullen Range,318,9.04
160,M. peelii,2012,301.0336665,-35.29,148.96,Nerreman,320,12.41
161,M. peelii,2012,301.0336665,-35.29,148.96,Nerreman,320,12.41
162,M. peelii,2012,301.4540111,-35.29,148.96,Nerreman,320,11.98
163,M. peelii,2012,300.1929773,-35.29,148.96,Nerreman,320,13.25
164,M. peelii,2012,300.1929773,-35.29,148.96,Nerreman,320,13.25
165,M. peelii,2012,302.715045,-35.29,148.96,Nerreman,320,10.72
166,M. peelii,2012,299.7726327,-35.29,148.96,Nerreman,320,13.67
167,M. peelii,2012,301.1387527,-35.29,148.96,Nerreman,320,12.3
168,M. peelii,2012,304.3964235,-35.29,148.96,Nerreman,320,9.04
169,M. peelii,2012,306.2879742,-35.29,148.96,Nerreman,320,7.15
170,M. peelii,2012,301.0336665,-35.29,148.96,Nerreman,320,12.41
171,M. peelii,2012,305.0269404,-35.29,148.96,Nerreman,320,8.41
172,M. peelii,2012,300.9285804,-35.29,148.96,Nerreman,320,12.51
173,M. peelii,2012,301.8743558,-35.29,148.96,Nerreman,320,11.56
174,M. peelii,2012,301.2438388,-35.29,148.96,Nerreman,320,12.19
175,M. peelii,2012,304.1862512,-35.29,148.96,Nerreman,320,9.25
176,M. peelii,2012,308.6679288,-35.47,149.06,Lanyon,334,20.39
177,M. peelii,2012,309.9289626,-35.47,149.06,Lanyon,334,19.13
178,F1 Hybrid,2012,310.9543173,-35.52,149.07,Tharwa Sandwash,333,15.98
179,M. peelii,2012,308.8525942,-35.52,149.07,Tharwa Sandwash,333,18.08
181,M. peelii,2012,332.6420965,-35.29,148.96,Nerreman,353,15.14
182,M. peelii,2012,328.609785,-35.4,149.01,Kambah Pool,348,13.46
183,M. peelii,2012,327.9792681,-35.4,149.01,Kambah Pool,348,14.09
184,M. peelii,2012,320.2624458,-35.43,149.07,Murramore,338,12.93
185,M. peelii,2013,291.0662459,-35.4,149.01,Kambah Pool,311,12.21
186,M. peelii,2013,290.8758005,-35.4,149.01,Kambah Pool,311,12.4
187,M. peelii,2013,290.6853552,-35.4,149.01,Kambah Pool,311,12.59
188,M. peelii,2013,290.7805778,-35.4,149.01,Kambah Pool,311,12.5
189,M. peelii,2013,290.6853552,-35.4,149.01,Kambah Pool,311,12.59
190,M. peelii,2013,291.1614686,-35.4,149.01,Kambah Pool,311,12.12
191,M. peelii,2013,289.3522376,-35.37,148.98,Bullen Range,311,13.93
192,M. peelii,2013,291.1614686,-35.37,148.98,Bullen Range,311,12.12
193,M. peelii,2013,290.1140191,-35.37,148.98,Bullen Range,311,13.16
194,M. peelii,2013,292.3041408,-35.37,148.98,Bullen Range,311,10.97
195,M. peelii,2013,292.5898089,-35.37,148.98,Bullen Range,311,10.69
196,M. peelii,2013,292.9706996,-35.37,148.98,Bullen Range,311,10.31
197,M. peelii,2013,292.0184727,-35.37,148.98,Bullen Range,311,11.26
198,M. peelii,2013,289.828351,-35.37,148.98,Bullen Range,311,13.45
199,M. peelii,2013,292.2089181,-35.37,148.98,Bullen Range,311,11.07
200,M. peelii,2013,290.4722976,-35.4,149.01,Kambah Pool,312,13.93
201,M. peelii,2013,291.4245244,-35.4,149.01,Kambah Pool,312,12.97
202,M. peelii,2013,291.8054152,-35.4,149.01,Kambah Pool,312,12.59
203,M. peelii,2013,292.0910832,-35.4,149.01,Kambah Pool,312,12.31
204,M. peelii,2013,291.5197471,-35.4,149.01,Kambah Pool,312,12.88
