"id","YearOnly","estimatedAge","pop","Day of Year","hatchedDoY","Delta13C","Delta15N","CNRatio","Distance to Angle Crossing (m)","lat","lon","raceCladeName","cladeGoTName","mumPulldown","Fathers","inbredCoeff"
86,2011,13.35,"Tharwa Sandwash",320,306.64,,,,8343.72,-35.52,149.07,"Goodoo","Wildlings","Sansa Stark","Tyrion",-0.14
87,2011,12.99,"Tharwa Sandwash",320,307.00,,,,8343.72,-35.52,149.07,"Goodoo","Wildlings","Sansa Stark","Tyrion",-0.08
88,2011,13.26,"Tharwa Sandwash",320,306.73,,,,8343.72,-35.52,149.07,"Goodoo","Wildlings","Sansa Stark","Tyrion",0.02
89,2011,13.17,"Tharwa Sandwash",320,306.82,,,,8343.72,-35.52,149.07,"Goodoo","Wildlings","Sansa Stark","Tyrion",-0.07
90,2011,12.99,"Tharwa Sandwash",320,307.00,,,,8343.72,-35.52,149.07,"Goodoo","Wildlings","Sansa Stark","Tyrion",-0.02
91,2011,13.89,"Tharwa Sandwash",320,306.10,,,,8343.72,-35.52,149.07,"Goodoo","Tyrell",,,0.06
92,2011,12.45,"Tharwa Sandwash",320,307.54,,,,8343.72,-35.52,149.07,"Goodoo","Wildlings","Sansa Stark","Tyrion",-6.0e-03
93,2011,13.35,"Tharwa Sandwash",320,306.64,,,,8343.72,-35.52,149.07,"Goodoo","Tyrell","Arya Stark","Jagen",0.05
94,2011,12.81,"Tharwa Sandwash",320,307.18,,,,8343.72,-35.52,149.07,"Goodoo","Tyrell","Arya Stark","Jagen",0.02
95,2011,14.07,"Lanyon",321,306.92,,,,13980.31,-35.47,149.06,"Goodoo","Lannister","MH12","FH12",-0.49
96,2011,14.70,"Lanyon",321,306.29,,,,13980.31,-35.47,149.06,"Goodoo","Lannister","Myrcella Baratheon","Trystane",-0.08
97,2011,15.51,"Lanyon",321,305.48,,,,13980.31,-35.47,149.06,"Goodoo","Lannister","Myrcella Baratheon","Trystane",-0.02
98,2011,16.77,"Lanyon",321,304.22,,,,13980.31,-35.47,149.06,"Goodoo","Wildlings",,,-0.13
99,2011,16.05,"Lanyon",321,304.94,,,,13980.31,-35.47,149.06,"Goodoo","Lannister",,,-0.05
100,2011,9.39,"Murramore",326,316.60,,,,20813.63,-35.43,149.07,"Pondi","House Arryn","MH6","FH6",-0.91
101,2011,8.67,"Murramore",326,317.32,,,,20813.63,-35.43,149.07,"Pondi","House Arryn",,,-0.36
103,2011,21.08,"Murramore",326,304.91,,,,20813.63,-35.43,149.07,"Goodoo","Wildlings",,,-0.15
104,2011,9.75,"Murramore",326,316.24,,,,20813.63,-35.43,149.07,"Goodoo","Wildlings","MH6","FH6",-0.47
105,2011,11.73,"Murramore",340,328.26,,,,20813.63,-35.43,149.07,"Goodoo","Wildlings","Gilly","Samwell",-0.21
107,2011,8.85,"Murramore",326,317.14,,,,20813.63,-35.43,149.07,"Goodoo","Wildlings","MH6","FH6",-0.43
108,2011,13.35,"Kambah Pool",327,313.64,,,,28825.03,-35.40,149.01,"Pondi","House Arryn","MH8","FH8",-0.59
109,2011,13.46,"Kambah Pool",327,313.53,,,,28825.03,-35.40,149.01,"Pondi","House Arryn","MH8","FH8",-0.69
110,2011,13.64,"Kambah Pool",327,313.35,,,,28825.03,-35.40,149.01,"Goodoo","Wildlings",,,-0.10
111,2011,10.64,"Kambah Pool",327,316.35,,,,28825.03,-35.40,149.01,"Goodoo","Nights Watch",,,-0.05
112,2011,10.11,"Bullen Range",328,317.88,,,,34906.28,-35.37,148.98,"Pondi","House Arryn","MH13","FH13",-0.72
113,2011,11.55,"Bullen Range",328,316.44,,,,34906.28,-35.37,148.98,"Goodoo","Wildlings",,,-0.08
114,2011,14.38,"Bullen Range",328,313.61,,,,34906.28,-35.37,148.98,"Goodoo","Wildlings",,,-0.11
115,2011,12.27,"Bullen Range",328,315.72,,,,34906.28,-35.37,148.98,"Goodoo","Wildlings",,,-0.37
116,2011,11.01,"Bullen Range",328,316.98,,,,34906.28,-35.37,148.98,"Goodoo","Tyrell",,,0.02
117,2011,13.35,"Bullen Range",328,314.64,,,,34906.28,-35.37,148.98,"Goodoo","Wildlings",,,-0.10
118,2011,9.57,"Bullen Range",328,318.42,,,,34906.28,-35.37,148.98,"Goodoo","Wildlings",,,-0.19
119,2011,11.55,"Bullen Range",328,316.44,,,,34906.28,-35.37,148.98,"Goodoo","Tyrell",,,-0.31
