"id","pop","lat","lon","two","three","yo"
219,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
217,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
208,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
218,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
207,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
215,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
209,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
210,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
211,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
212,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
213,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
214,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
206,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
226,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
233,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
227,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
228,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
229,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
230,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
247,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
256,"Lanyon",-35.47,149.06,"Top","Upper",2013
255,"Lanyon",-35.47,149.06,"Top","Upper",2013
254,"Lanyon",-35.47,149.06,"Top","Upper",2013
250,"Lanyon",-35.47,149.06,"Top","Upper",2013
232,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
246,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
245,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
236,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
231,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
235,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
244,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
237,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
238,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
239,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
240,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
241,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
242,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
234,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
257,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
258,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
259,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
260,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
261,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
263,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
266,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
265,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
264,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
267,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
268,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
270,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
271,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
272,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
273,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
274,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
275,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
357,"Lanyon",-35.47,149.06,"Top","Upper",2013
278,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
276,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
279,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
277,"Kambah Pool",-35.40,149.01,"Bottom","Middle",2013
367,"Murramore",-35.43,149.07,"Top","Middle",2013
366,"Murramore",-35.43,149.07,"Top","Middle",2013
365,"Murramore",-35.43,149.07,"Top","Middle",2013
284,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
283,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
282,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
280,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
298,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
297,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
292,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
293,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
296,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
290,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
304,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
303,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
302,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
300,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
368,"Lanyon",-35.47,149.06,"Top","Upper",2013
372,"Lanyon",-35.47,149.06,"Top","Upper",2013
371,"Lanyon",-35.47,149.06,"Top","Upper",2013
369,"Lanyon",-35.47,149.06,"Top","Upper",2013
315,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
370,"Lanyon",-35.47,149.06,"Top","Upper",2013
314,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
317,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
322,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
373,"Bullen Range",-35.37,148.98,"Bottom","Lower",2013
374,"Murramore",-35.43,149.07,"Top","Middle",2013
375,"Murramore",-35.43,149.07,"Top","Middle",2013
376,"Murramore",-35.43,149.07,"Top","Middle",2013
377,"Murramore",-35.43,149.07,"Top","Middle",2013
320,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
319,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
321,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
324,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
323,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
327,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
329,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
330,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
332,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
337,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
335,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
333,"Nerreman",-35.29,148.96,"Bottom","Lower",2013
339,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
342,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
341,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
351,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
348,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
349,"Tharwa Sandwash",-35.52,149.07,"Top","Upper",2013
159,"Bullen Range",-35.37,148.98,"Bottom","Lower",2012
151,"Bullen Range",-35.37,148.98,"Bottom","Lower",2012
152,"Bullen Range",-35.37,148.98,"Bottom","Lower",2012
153,"Bullen Range",-35.37,148.98,"Bottom","Lower",2012
154,"Bullen Range",-35.37,148.98,"Bottom","Lower",2012
155,"Bullen Range",-35.37,148.98,"Bottom","Lower",2012
156,"Bullen Range",-35.37,148.98,"Bottom","Lower",2012
157,"Bullen Range",-35.37,148.98,"Bottom","Lower",2012
158,"Bullen Range",-35.37,148.98,"Bottom","Lower",2012
166,"Nerreman",-35.29,148.96,"Bottom","Lower",2012
172,"Nerreman",-35.29,148.96,"Bottom","Lower",2012
161,"Nerreman",-35.29,148.96,"Bottom","Lower",2012
165,"Nerreman",-35.29,148.96,"Bottom","Lower",2012
162,"Nerreman",-35.29,148.96,"Bottom","Lower",2012
163,"Nerreman",-35.29,148.96,"Bottom","Lower",2012
164,"Nerreman",-35.29,148.96,"Bottom","Lower",2012
160,"Nerreman",-35.29,148.96,"Bottom","Lower",2012
168,"Nerreman",-35.29,148.96,"Bottom","Lower",2012
