PlateID,Row,Column,Organism,Species,Genotype,Tissue,Comments,
Plate 3,A,5,Maccullochella,M. peelii,N,larvae,169,
Plate 3,B,4,Maccullochella,M. peelii,N,larvae,170,
Plate 3,B,3,Maccullochella,M. peelii,N,larvae,171,
Plate 3,B,2,Maccullochella,M. peelii,N,larvae,172,
Plate 3,B,1,Maccullochella,M. peelii,N,larvae,173,
Plate 3,A,12,Maccullochella,M. peelii,N,larvae,174,
Plate 3,A,11,Maccullochella,M. peelii,N,larvae,175,
Plate 3,A,10,Maccullochella,M. peelii,L,larvae,176,
Plate 3,A,9,Maccullochella,M. peelii,L,larvae,177,
Plate 3,A,8,Maccullochella,M. peelii,T,larvae,178,
Plate 3,A,7,Maccullochella,M. peelii,T,larvae,179,
Plate 3,A,6,Maccullochella,M. peelii,N,larvae,181,
Plate 3,B,5,Maccullochella,M. peelii,K,larvae,182,
Plate 3,B,6,Maccullochella,M. peelii,K,larvae,183,
Plate 3,B,7,Maccullochella,M. peelii,M,larvae,184,
BL3H,A,1,Maccullochella,,Unknown,larvae,185,
BL3H,A,2,Maccullochella,,Unknown,larvae,186,
BL3H,A,3,Maccullochella,,Unknown,larvae,187,
Alan,C,1,Maccullochella,Presumed M. peelii,Unknown,larvae,T187,
BL3H,A,4,Maccullochella,,Unknown,larvae,188,
Alan,D,1,Maccullochella,Presumed M. peelii,Unknown,larvae,T188,
BL3H,A,5,Maccullochella,,Unknown,larvae,189,
Alan,E,1,Maccullochella,Presumed M. peelii,Unknown,larvae,T189,
BL3H,A,6,Maccullochella,,Unknown,larvae,190,
Alan,F,1,Maccullochella,Presumed M. peelii,Unknown,larvae,T190,
BL3H,A,7,Maccullochella,,Unknown,larvae,191,
BL3H,A,8,Maccullochella,,Unknown,larvae,192,
BL3H,A,9,Maccullochella,,Unknown,larvae,193,
BL3H,A,10,Maccullochella,,Unknown,larvae,194,
BL3H,A,11,Maccullochella,,Unknown,larvae,195,
BL3H,A,12,Maccullochella,,Unknown,larvae,196,
BL3H,B,12,Maccullochella,,Unknown,larvae,197,
BL3H,B,11,Maccullochella,,Unknown,larvae,198,
BL3H,B,10,Maccullochella,,Unknown,larvae,199,
BL3H,B,9,Maccullochella,,Unknown,larvae,200,
BL3H,B,8,Maccullochella,,Unknown,larvae,201,
