"","LarvalID","OtoPart","SiteName","Li.Ca","B.Ca","Na.Ca","Mg.Ca","Mg.Ca.1","Al.Ca","Si.Ca","K.Ca","Ca.Ca","Sc.Ca","Ti.Ca","V.Ca","Cr.Ca","Mn.Ca","Fe.Ca","Ni.Ca","Cu.Ca","Zn.Ca","Ga.Ca","Rb.Ca","Sr.Ca","Sr.Ca.1","Y.Ca","Ag.Ca","Sb.Ca","Ba.Ca","Ba.Ca.1","La.Ca","Ce.Ca","Nd.Ca","Er.Ca","Pb.Ca","Li","B","Na","Mg","Mg.1","Al","Si","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Ni","Cu","Zn","Ga","Rb","Sr","Sr.1","Y","Ag","Sb","Ba","Ba.1","La","Ce","Nd","Er","Pb","Delta13C","Delta15N","CNRatio","Label"
"185","185","Core","Kambah Pool",1.1123535e-06,3.17889514285714e-05,0.0194637204285714,0.000299378785714286,0.000297731952380952,9.24812142857143e-06,0.00753409483333333,0.00354284480952381,1.07810380754762,3.34972023809524e-07,6.49351666666667e-07,1.24787411904762e-07,2.93138223809524e-06,6.71362838095238e-05,0.0001723641,7.51072071428571e-07,6.85104523809524e-07,7.76030404761905e-07,6.79357352380952e-07,1.08789921428571e-06,0.00159088485714286,0.00155320119047619,2.2665880952381e-09,9.19830714285714e-09,2.02043642857143e-08,1.10096492857143e-05,1.04687573809524e-05,1.99888809523810e-09,2.34961428571429e-09,2.62318333333333e-09,5.55148809523810e-09,6.84667142857143e-09,0.0770581953571429,3.43001543685714,4465.95594633333,72.6223959452381,72.2229239864286,2.49042792116667,2111.87007235714,1382.49623164286,431241.523021429,0.150296651214286,0.310220221833333,0.0634448607619048,1.52123747785714,36.8115878433333,96.0693975135714,0.439971686071429,0.434509337547619,0.5066059065,0.472746321476191,0.927993522547619,1391.22043512619,1358.26633421429,0.0020112070952381,0.0099027455,0.0245529563333333,15.0897907143571,14.3484496407143,0.00277116021428571,0.00328578038095238,0.00377631826190476,0.00926729157142857,0.0141586936428571,-24.29407465,17.22900366,3.228494234,"K2013117-185"
"186","186","Core","Kambah Pool",8.91088780487805e-07,3.27533373170732e-05,0.0196111218536585,0.000351106170731707,0.000362082146341463,1.0289156097561e-05,0.010845134804878,0.00373591914634146,0.990755423658537,3.69893263414634e-07,1.07250541463415e-06,1.87976707317073e-07,2.84766524390244e-06,7.39000026829268e-05,0.000213394702439024,5.36127682926829e-07,7.93125951219512e-07,8.22424756097561e-07,9.82568873170732e-07,1.17592258536585e-06,0.00152539904878049,0.00151283914634146,3.45123658536585e-09,9.84450487804878e-09,2.51901463414634e-08,1.01075585365854e-05,9.47683463414634e-06,1.79183414634146e-09,4.18260731707317e-09,1.02369414634146e-08,8.31475365853659e-09,1.13877097560976e-08,0.0617301289512195,3.53407168943902,4499.77724368293,85.1702853121951,87.83277935,2.77076895431707,3039.98236953415,1457.83807843902,396302.169443902,0.16596525297561,0.512377153780488,0.0955717914146341,1.47779322117073,40.5202241771951,118.938352650732,0.314058959365854,0.503019011243902,0.536893078560976,0.68374288502439,1.00307964026829,1333.95344048049,1322.96989063171,0.00306237746341463,0.0105984150243902,0.0306118160731707,13.8533920621951,12.9889262862927,0.00248411424390244,0.00584910017073171,0.0147370260731707,0.0138801143902439,0.0235494150731707,-24.42245914,17.43863586,3.146348976,"K2013117-186"
"187","187","Core","Kambah Pool",8.98779047619048e-07,2.27052474059524e-05,0.020390605047619,0.000269825404761905,0.000270595761904762,1.08982285714286e-05,0.0174713421428571,0.00358413345238095,0.989759031833333,4.19542619047619e-07,9.12561833333333e-07,1.72957885714286e-07,2.63634428571429e-06,0.000124726239047619,0.000219191204761905,8.1685569047619e-07,5.88576011904762e-07,8.26691476190476e-07,1.2411862047619e-06,1.03319154761905e-06,0.00150820504761905,0.00155762197619048,5.46627380952381e-09,2.28423880952381e-08,2.42329452380952e-08,8.83703e-06,8.92306833333333e-06,3.48420238095238e-09,1.42261476190476e-09,1.3586630952381e-08,3.57893809523810e-09,1.72763285714286e-08,0.0622628548571429,2.449887238,4678.62988764286,65.4534309707143,65.6403055428571,2.93478792852381,4897.36390848571,1398.60797307143,395903.612738095,0.188242101214286,0.435965887761905,0.0879358831190476,1.36812851266667,68.3888020243571,122.169071769286,0.478507510142857,0.373288665785714,0.539678368928571,0.863708162547619,0.881327359333333,1318.91737194762,1362.13220524286,0.00485037754761905,0.0245917188095238,0.0294486092619048,12.1120126956429,12.2299359153571,0.00483032454761905,0.00198943057142857,0.0195592035238095,0.0059744445,0.0357268657619048,-24.18494618,17.42943057,3.152389492,"K2013117-187"
"188","188","Core","Kambah Pool",9.3617487804878e-07,3.71281392682927e-05,0.0214896480243902,0.000274792951219512,0.000266354195121951,9.99246585365854e-06,0.0142207213902439,0.00363251068292683,0.996777791365854,4.94847804878049e-07,9.51188390243902e-07,1.93137185195122e-07,3.55075163414634e-06,5.99035607317073e-05,0.00021975756097561,7.84581365853659e-07,5.02885836585366e-07,8.7793043902439e-07,1.06638674878049e-06,1.00951226829268e-06,0.00143904243902439,0.00146641129268293,6.26100731707317e-09,1.07815146341463e-08,1.13716951219512e-08,8.20650512195122e-06,8.19478707317073e-06,3.44063658536585e-09,2.12623170731707e-09,1.63661536585366e-08,5.30740487804878e-09,1.00961634146341e-08,0.0648534017804878,4.00611203443902,4930.80559080488,66.658451132439,64.6114029697561,2.69087180136585,3986.18763430488,1417.48583317073,398711.116558537,0.222030259439024,0.454419321756098,0.0981954807146341,1.84265901607317,32.8457740561463,122.48475397,0.459601494682927,0.318942046195122,0.573127713390244,0.742070144829268,0.861128378658537,1258.43502566585,1282.36897237561,0.00555556585365854,0.0116071932682927,0.013819219195122,11.2478175620976,11.231750860122,0.00476993863414634,0.0029733923902439,0.0235605936341463,0.00885983290243902,0.0208785421219512,-23.92685712,17.31001447,3.196372529,"K2013117-188"
"189","189","Core","Kambah Pool",1.12094687804878e-06,2.24876362682927e-05,0.0196689827560976,0.00022777443902439,0.000218494804878049,8.96920487804878e-06,0.0148913038536585,0.00358420397560976,1.02301804353659,4.39099219512195e-07,8.6942056097561e-07,2.2363425804878e-07,3.21793165853659e-06,5.33220880487805e-05,0.000212003512195122,9.19974219512195e-07,6.76522553658537e-07,6.89660121951219e-07,1.17441951219512e-06,1.07858946341463e-06,0.00163238748780488,0.00165625543902439,5.10702926829268e-09,1.53356780487805e-08,8.54471219512195e-09,1.04178529268293e-05,1.05688046341463e-05,5.88146097560976e-09,2.47009073170732e-09,7.23166829268293e-09,1.0090087804878e-08,1.03278292682927e-08,0.0776534828780488,2.42640773726829,4513.05343753659,55.2528478958537,53.0018098036585,2.41532012309756,4174.15754082927,1398.63548592683,409207.217402439,0.197016906292683,0.415355703707317,0.113700963195122,1.66994217546341,29.2371145761707,118.162927136585,0.538913435731707,0.429066231439024,0.45022201604878,0.817246549536585,0.92005212502439,1427.51432258537,1448.38666619512,0.00453161346341463,0.0165101244146341,0.0103837945853659,14.2786859668293,14.4855761892195,0.00815377909756097,0.00345425470731707,0.0104106570487805,0.0168437289512195,0.0213576149268293,-24.39137475,17.34734221,3.194747163,"K2013117-189"
"190","190","Core","Kambah Pool",6.55262926829268e-07,2.20546751463415e-05,0.0214428140487805,0.000301143097560976,0.000295037634146341,9.41278536585366e-06,0.0151008797073171,0.00325148980487805,1.00027795195122,4.47619709756098e-07,9.53708414634146e-07,2.37402055853659e-07,3.56824653658537e-06,0.000147305114146341,0.000219794995121951,8.14634341463415e-07,8.09794529658537e-07,1.0244476097561e-06,1.17527626829268e-06,9.66785268292683e-07,0.00127730287804878,0.00124287243902439,6.35250731707317e-09,1.05035731707317e-08,1.16303146341463e-08,8.38461975609756e-06,7.99571e-06,1.16555853658537e-09,4.32400341463415e-09,1.30381341463415e-08,0,8.78721219512195e-09,0.0453932787073171,2.37969037146341,4920.05951641463,73.0503904602439,71.569338742439,2.53477225997561,4232.9034108439,1268.80307400732,400111.180785366,0.200839832146341,0.45562324102439,0.120700822560976,1.85173914185366,80.7690583651951,122.505600755854,0.477206053219512,0.513590357292683,0.668776623902439,0.817843110682927,0.824681954146341,1116.99467280976,1086.88540842439,0.00563676173170732,0.0113079583658537,0.0141335174390244,11.491935100878,10.9588979963415,0.00161587541463415,0.00604683263414634,0.0187696071707317,0,0.0181716695853659,-24.27346979,17.34441223,3.171354096,"K2013117-190"
"191","191","Core","Bullen Range",1.88053571428571e-06,1.78901394047619e-05,0.0227330947142857,0.000310717380952381,0.000308107547619048,9.90550714285714e-06,0.00959039907142857,0.00388502028571429,0.990483153952381,4.25673426190476e-07,5.63938142857143e-07,2.18042732857143e-07,2.71454051904762e-06,0.000148792833333333,0.000216739569047619,9.64258452380952e-07,7.02847714285714e-07,1.26287466666667e-06,1.05698102380952e-06,1.0186110952381e-06,0.00138887683333333,0.00134427911904762,7.43085476190476e-09,2.41020119047619e-08,2.20765476190476e-09,9.24510476190476e-06,8.96686904761905e-06,2.5992e-09,1.77600714285714e-09,5.35919285714286e-09,8.49684523809524e-09,1.28478047619048e-08,0.130273853,1.93033874428571,5216.11477759524,75.3728802902381,74.7397843245238,2.66745563864286,2688.2693911119,1516.020631,396193.261635714,0.1909929305,0.269414891071429,0.11085807252381,1.40870880966667,81.5848076245714,120.802671231667,0.564854724523809,0.445762407214286,0.824425960452381,0.735524665857143,0.868889841690476,1214.565496,1175.56504286905,0.00659360780952381,0.0259478071666667,0.00268280602380952,12.6713198007381,12.2899668587857,0.0036034054047619,0.00248362588095238,0.00771505492857143,0.014184077547619,0.0265688626428571,-24.12437684,17.33149927,3.203815029,"B2013117-191"
"192","192","Core","Bullen Range",1.03818853658537e-06,2.42576986097561e-05,0.0203768664146341,0.000316790829268293,0.000316082048780488,1.54750804878049e-05,0.0141190928292683,0.0026615657804878,0.992896458804878,3.29105207317073e-07,1.04779641463415e-06,2.30899708292683e-07,3.52841441463415e-06,2.07286073170732e-05,0.000220491536585366,7.11586585365854e-07,4.40762587804878e-07,6.76897024390244e-07,1.297736e-06,6.67058682926829e-07,0.00183191248780488,0.00177836334146341,6.30243414634146e-09,1.60522487804878e-08,6.10797804878049e-09,1.1551237804878e-05,1.1249147804878e-05,2.34757804878049e-09,2.75713658536585e-09,1.05584585365854e-08,1.56795097560976e-08,8.8085487804878e-09,0.071920455902439,2.61739551682927,4675.47753704878,76.8461823714634,76.6742356278049,4.16728702717073,3957.70029579268,1038.60170835366,397158.583519512,0.147664311878049,0.500572703097561,0.117394844292683,1.83106784417073,11.3657306197561,122.893858966341,0.416841629536585,0.27954172702439,0.441890294682927,0.903059958951219,0.569010822536585,1601.99787214634,1555.16935204878,0.00559232643902439,0.017281594195122,0.00742259726829268,15.8320829176585,15.4180579553659,0.00325456717073171,0.00385567492682927,0.0151998770243902,0.0261743602682927,0.0182157923902439,-23.182547,17.07783738,3.238758517,"B2013117-192"
"193","193","Core","Bullen Range",1.03671219512195e-06,1.8170147902439e-05,0.0209113786341463,0.000242617414634146,0.000241416707317073,1.06758146341463e-05,0.0101842608536585,0.00356459595121951,0.977910495682927,3.19362814634146e-07,7.34170609756098e-07,2.17818309512195e-07,4.81904014634146e-06,6.83206580487805e-05,0.000225332602439024,7.1117243902439e-07,4.73688231707317e-07,9.58425414634146e-07,1.4215473902439e-06,9.44244609756098e-07,0.0014046672195122,0.00140383707317073,1.91221219512195e-09,2.12977048780488e-08,1.01387e-08,9.26101853658537e-06,9.04993048780488e-06,2.78398780487805e-09,1.86971463414634e-09,2.67509902439024e-08,7.40681707317073e-09,7.86088292682927e-09,0.0718181062926829,1.96055113868293,4798.12151360976,58.8534034709756,58.562120842439,2.87489351358537,2854.73383024878,1390.98402165854,391164.198273171,0.143292996585366,0.350741411317073,0.110743974926829,2.50083727378049,37.4609729118781,125.592055891463,0.416599207609756,0.300424149853659,0.625676347804878,0.989216103731707,0.805454274804878,1228.37413423659,1227.64805368293,0.00169675926829268,0.0229287155853659,0.012320853,12.6931267441707,12.403810387439,0.00385958270731707,0.00261467302439024,0.0385105301707317,0.0123644632682927,0.016256048,-24.00981848,17.31257512,3.198185266,"B2013117-193"
"194","194","Core","Bullen Range",2.88961066666667e-07,4.75940933333333e-05,0.0200279315333333,0.000295591333333333,0.000282055666666667,1.6346602e-06,0.00148505486666667,0.00332319166666667,1.01216852626667,1.83487286666667e-07,4.661446e-07,6.58726926666667e-08,4.65647753333333e-07,9.20215106666667e-05,0.000193454533333333,4.69058433333333e-07,4.28159733333333e-07,7.833744e-07,1.295246e-07,8.99525466666667e-07,0.00129078193333333,0.00133808713333333,2.59137133333333e-09,3.77882666666667e-09,5.356614e-09,6.47813666666667e-06,5.78048466666667e-06,3.09528e-10,3.300468e-09,9.89294666666667e-09,2.09177e-09,6.174732e-09,0.0200177331333333,5.13538226966667,4595.41432473333,71.703658982,68.420232506,0.440198183133333,416.273333390667,1296.7827192,404867.410526667,0.0823278296666667,0.222694996666667,0.0334912387333333,0.241647564733333,50.4564424384,107.824415078667,0.274770636266667,0.271548866133333,0.511400489066667,0.090132666,0.767308576933333,1128.78191988,1170.15012708667,0.00229939906666667,0.00406822146666667,0.00650952313333333,8.87891731193333,7.92271688053333,0.0004291148,0.0046154852,0.0142418155333333,0.00349185706666667,0.0127691316,-22.92227924,16.24176887,3.219838563,"B2013117-194"
