"pair.no","ind1.id","ind2.id","group","trioml","wang","lynchli","lynchrd","ritland","quellergt","dyadml"
"68",68,"185","261","1826",0.0551,0.1163,0.1208,0.0414,0.0372,0.1374,0.0593
"69",69,"185","263","1826",0,0.0094,0.0117,-0.0389,-0.0367,0.0312,0
"70",70,"185","264","1826",0.0317,0.0149,0.022,0.0365,0.0359,0.0976,0.0324
"71",71,"185","265","1826",0.0506,0.0962,0.0994,0.0453,0.0422,0.1319,0.0506
"72",72,"185","266","1826",0.0275,0.0301,0.0335,0.0253,0.0247,0.0751,0.0275
"73",73,"185","267","1826",0.0182,-0.0027,0.0063,0.0023,0.0022,0.0812,0.0182
"74",74,"185","268","1826",0,-0.1555,-0.1509,-0.0531,-0.0563,-0.0096,0
"75",75,"185","270","1827",0.0292,0.0233,0.0282,0.0279,0.0274,0.0837,0.0292
"76",76,"185","271","1827",0.0922,0.0882,0.0942,0.0432,0.0399,0.1087,0.0944
"77",77,"185","272","1827",0.0562,0.1058,0.1094,0.0507,0.0467,0.1338,0.0562
"78",78,"185","273","1827",0,-0.0757,-0.0742,-0.0646,-0.0646,0.0116,0
"79",79,"185","274","1827",0.0617,0.0354,0.0372,0.0334,0.0329,0.1144,0.0666
"80",80,"185","275","1827",0.0385,0.0606,0.0662,0.0361,0.0341,0.1115,0.0385
"81",81,"185","276","1827",0,-0.0122,-0.0028,-0.0307,-0.0288,0.0429,0
"82",82,"185","277","1827",0.1243,0.1503,0.1531,0.1158,0.1095,0.1907,0.1243
"83",83,"185","278","1827",0.0588,0.177,0.177,0.0568,0.0493,0.1443,0.0596
"84",84,"185","279","1827",0.0224,0.0301,0.0309,0.0204,0.0201,0.0817,0.0224
"85",85,"185","280","1828",0,0.0689,0.0744,0,0,0.0785,0
"86",86,"185","222","1822",0.0264,0.0081,0.0149,0.0032,0.0031,0.0575,0.0264
"87",87,"185","70","1870",0.0449,0.0964,0.0994,0.027,0.0246,0.1097,0.0449
"88",88,"185","71","1871",0,-8e-04,0.0055,-0.0153,-0.0146,0.0352,0
"89",89,"185","72","1872",0.1405,0.1357,0.1405,0.1521,0.1503,0.2055,0.1483
"90",90,"185","73","1873",0,0.1144,0.1146,-0.0241,-0.0206,0.0348,0
"91",91,"185","76","1876",0,0.2214,0.2112,-0.1353,-0.0937,-0.3909,0
"92",92,"185","75","1875",0.0045,0.2086,0.2081,0.0033,0.0026,0.0376,0.0045
